fid,iid,rep,VBS,Static B150,Lookahead 0,Lookahead 1,Lookahead 2,Lookahead 3,Lookahead 4,Lookahead 5,Lookahead 6,Lookahead 7,Lookahead 8,Lookahead 9,Lookahead 10,Lookahead 11,Lookahead 12,Lookahead 13,Lookahead 14,Lookahead 15,Lookahead 16,Lookahead 17,Lookahead 18,Lookahead 19,Lookahead 20
2,6,9,2.418687472527381e-11,5.17630383001233e-11,5.4441784413938876e-11,5.4441784413938876e-11,5.4441784413938876e-11,5.4441784413938876e-11,5.4441784413938876e-11,5.4441784413938876e-11,2.418687472527381e-11,5.4441784413938876e-11,5.4441784413938876e-11,5.4441784413938876e-11,5.4441784413938876e-11,5.283595783112105e-11,5.283595783112105e-11,5.283595783112105e-11,5.283595783112105e-11,5.283595783112105e-11,5.283595783112105e-11,5.283595783112105e-11,5.283595783112105e-11,5.283595783112105e-11,5.283595783112105e-11
2,6,10,9.414691248821327e-12,8.596146017225692e-11,4.928324415232055e-11,4.928324415232055e-11,3.715427965289564e-11,3.5910829865315463e-11,3.715427965289564e-11,3.9399594697897555e-11,3.9399594697897555e-11,3.9399594697897555e-11,3.715427965289564e-11,4.928324415232055e-11,3.715427965289564e-11,3.715427965289564e-11,4.928324415232055e-11,3.9399594697897555e-11,4.928324415232055e-11,4.928324415232055e-11,4.928324415232055e-11,4.928324415232055e-11,4.928324415232055e-11,4.928324415232055e-11,4.928324415232055e-11
2,6,11,1.4274803561420411e-11,8.737544021641952e-11,5.402256419984042e-11,4.1872283418342704e-11,4.1872283418342704e-11,4.1872283418342704e-11,4.1872283418342704e-11,4.1872283418342704e-11,4.1872283418342704e-11,4.1872283418342704e-11,4.1872283418342704e-11,4.1872283418342704e-11,4.1872283418342704e-11,5.402256419984042e-11,4.1872283418342704e-11,4.1872283418342704e-11,4.1872283418342704e-11,4.1872283418342704e-11,4.1872283418342704e-11,4.1872283418342704e-11,4.1872283418342704e-11,4.1872283418342704e-11,4.1872283418342704e-11
2,6,12,1.1425527191022413e-11,3.266099219700891e-05,2.869171566999285e-11,5.449862783279968e-11,4.622791038855212e-11,4.516920171226957e-11,5.449862783279968e-11,5.449862783279968e-11,5.449862783279968e-11,5.449862783279968e-11,4.622791038855212e-11,5.449862783279968e-11,5.449862783279968e-11,5.449862783279968e-11,5.4839688345964526e-11,5.449862783279968e-11,5.449862783279968e-11,4.622791038855212e-11,4.622791038855212e-11,4.622791038855212e-11,4.622791038855212e-11,4.622791038855212e-11,4.622791038855212e-11
2,6,13,1.7706724975141697e-11,3.265395849894048e-05,4.196465397399152e-11,2.963673750855378e-11,5.066880248705274e-11,2.963673750855378e-11,4.196465397399152e-11,4.9524828682478976e-11,4.196465397399152e-11,4.196465397399152e-11,4.9524828682478976e-11,4.196465397399152e-11,4.196465397399152e-11,4.196465397399152e-11,4.196465397399152e-11,2.963673750855378e-11,2.963673750855378e-11,2.963673750855378e-11,2.963673750855378e-11,2.963673750855378e-11,2.963673750855378e-11,2.963673750855378e-11,2.963673750855378e-11
2,6,14,2.3433699425368104e-11,4.9453774408902966e-11,8.191847200578195e-11,8.191847200578195e-11,8.191847200578195e-11,8.191847200578195e-11,8.191847200578195e-11,8.191847200578195e-11,4.477840320760152e-11,8.191847200578195e-11,8.191847200578195e-11,8.191847200578195e-11,4.992983804186224e-11,2.3433699425368104e-11,2.3433699425368104e-11,4.477840320760152e-11,2.3433699425368104e-11,2.3433699425368104e-11,2.3433699425368104e-11,2.3433699425368104e-11,2.3433699425368104e-11,2.3433699425368104e-11,2.3433699425368104e-11
2,6,15,3.141309434795403e-11,2.465724195843677e-05,4.575184675559285e-11,4.956746124662459e-11,4.575184675559285e-11,5.0754067615343956e-11,4.575184675559285e-11,4.956746124662459e-11,4.956746124662459e-11,5.0754067615343956e-11,4.956746124662459e-11,4.575184675559285e-11,4.956746124662459e-11,4.575184675559285e-11,5.24948973179562e-11,4.956746124662459e-11,4.956746124662459e-11,4.956746124662459e-11,4.956746124662459e-11,4.956746124662459e-11,4.956746124662459e-11,4.956746124662459e-11,4.956746124662459e-11
2,6,16,4.106937012693379e-12,4.106937012693379e-12,3.664979431050597e-11,3.664979431050597e-11,3.664979431050597e-11,3.664979431050597e-11,3.664979431050597e-11,1.5852208434807835e-11,1.992361831071321e-11,3.664979431050597e-11,1.992361831071321e-11,3.664979431050597e-11,3.664979431050597e-11,3.664979431050597e-11,3.664979431050597e-11,3.664979431050597e-11,3.664979431050597e-11,3.664979431050597e-11,3.664979431050597e-11,3.664979431050597e-11,3.664979431050597e-11,3.664979431050597e-11,3.664979431050597e-11
2,6,17,2.6815882847586175e-11,5.3518078857450746e-11,4.1950443119276315e-11,4.1950443119276315e-11,4.1950443119276315e-11,5.270806013868423e-11,4.1950443119276315e-11,5.270806013868423e-11,5.270806013868423e-11,4.1950443119276315e-11,5.270806013868423e-11,4.1950443119276315e-11,4.1950443119276315e-11,4.1950443119276315e-11,4.1950443119276315e-11,4.1950443119276315e-11,4.1950443119276315e-11,4.1950443119276315e-11,4.1950443119276315e-11,4.1950443119276315e-11,4.1950443119276315e-11,4.1950443119276315e-11,4.1950443119276315e-11
2,6,18,2.33981722885801e-11,2.468103480168793e-05,5.044853423896711e-11,3.4368952128716046e-11,3.4368952128716046e-11,5.136513436809764e-11,5.044853423896711e-11,3.4368952128716046e-11,3.4368952128716046e-11,3.4368952128716046e-11,5.044853423896711e-11,5.044853423896711e-11,5.044853423896711e-11,3.4368952128716046e-11,5.044853423896711e-11,5.136513436809764e-11,5.136513436809764e-11,5.136513436809764e-11,5.136513436809764e-11,5.136513436809764e-11,5.136513436809764e-11,5.136513436809764e-11,5.136513436809764e-11
