iid,rep,a1_budget,algname,achieved_regret,fid_a,fid_b,alpha
7,4,350,Elitist,0.17888815142983078,24,21,0.1
7,5,350,Elitist,0.12730259596806642,24,21,0.1
7,6,350,Elitist,0.21934699232051005,24,21,0.1
7,7,350,Elitist,0.8970150471926595,24,21,0.1
7,8,350,Elitist,0.22002861596316625,24,21,0.1
7,9,350,Elitist,0.24995883558785356,24,21,0.1
7,10,350,Elitist,0.7310980215466465,24,21,0.1
7,11,350,Elitist,0.7049420221634669,24,21,0.1
7,12,350,Elitist,0.22708234597491955,24,21,0.1
7,13,350,Elitist,0.10939851543077142,24,21,0.1
7,14,350,Elitist,0.6210497338708098,24,21,0.1
7,15,350,Elitist,7.067336447633387,24,21,0.1
7,16,350,Elitist,0.2409234814571042,24,21,0.1
7,17,350,Elitist,0.1473316337516166,24,21,0.1
7,18,350,Elitist,0.6640954835794386,24,21,0.1
7,19,350,Elitist,0.45693331131358933,24,21,0.1
6,0,350,Elitist,2.660604968262832,21,22,0.9
6,1,350,Elitist,2.598341752256114,21,22,0.9
6,2,350,Elitist,2.3984148940488503,21,22,0.9
6,3,350,Elitist,2.6155415390536443,21,22,0.9
6,4,350,Elitist,0.17985328800290984,21,22,0.9
6,5,350,Elitist,2.6497861365027355,21,22,0.9
6,6,350,Elitist,2.672638815810195,21,22,0.9
6,7,350,Elitist,2.352802098871283,21,22,0.9
6,8,350,Elitist,1.7785544075312854,21,22,0.9
6,9,350,Elitist,2.573784004586414,21,22,0.9
6,10,350,Elitist,2.4751901053919205,21,22,0.9
6,11,350,Elitist,7.9758602507543985,21,22,0.9
6,12,350,Elitist,2.375322770972615,21,22,0.9
6,13,350,Elitist,2.694887116117001,21,22,0.9
6,14,350,Elitist,2.619641703793039,21,22,0.9
6,15,350,Elitist,7.831653193184934,21,22,0.9
6,16,350,Elitist,2.5551162595919124,21,22,0.9
6,17,350,Elitist,2.673683389471359,21,22,0.9
6,18,350,Elitist,0.19339204497758386,21,22,0.9
6,19,350,Elitist,1.3823526680426876,21,22,0.9
7,0,350,Elitist,1.290576588803989,21,22,0.9
7,1,350,Elitist,1.071840784874772,21,22,0.9
7,2,350,Elitist,7.043968912978749,21,22,0.9
7,3,350,Elitist,7.025245392906174,21,22,0.9
7,4,350,Elitist,7.023563779379116,21,22,0.9
7,5,350,Elitist,6.732966532014852,21,22,0.9
7,6,350,Elitist,1.1985478338526598,21,22,0.9
7,7,350,Elitist,1.293149920076307,21,22,0.9
7,8,350,Elitist,4.540597983854306,21,22,0.9
7,9,350,Elitist,1.1559908489234658,21,22,0.9
7,10,350,Elitist,1.2539503710714828,21,22,0.9
7,11,350,Elitist,0.15313681860500014,21,22,0.9
7,12,350,Elitist,1.2231881127566446,21,22,0.9
7,13,350,Elitist,1.1935722011014969,21,22,0.9
7,14,350,Elitist,2.412017667640754,21,22,0.9
7,15,350,Elitist,1.2320308130453128,21,22,0.9
7,16,350,Elitist,5.7873985927117895,21,22,0.9
7,17,350,Elitist,7.096002804821688,21,22,0.9
7,18,350,Elitist,7.132144900486944,21,22,0.9
7,19,350,Elitist,0.24632097937932199,21,22,0.9
6,0,350,Elitist,5.4739110948155405,21,22,0.7
6,1,350,Elitist,4.150547896198081,21,22,0.7
6,2,350,Elitist,5.115243775866855,21,22,0.7
6,3,350,Elitist,4.1540163779267365,21,22,0.7
6,4,350,Elitist,4.036856840102354,21,22,0.7
6,5,350,Elitist,0.28414816099379975,21,22,0.7
6,6,350,Elitist,0.3680386820384239,21,22,0.7
6,7,350,Elitist,4.153606677690996,21,22,0.7
6,8,350,Elitist,5.256875489719797,21,22,0.7
6,9,350,Elitist,0.16309320414443432,21,22,0.7
6,10,350,Elitist,0.39991963623461324,21,22,0.7
6,11,350,Elitist,3.6723551285237166,21,22,0.7
6,12,350,Elitist,0.12432936905910646,21,22,0.7
6,13,350,Elitist,4.044052694517793,21,22,0.7
6,14,350,Elitist,4.0770558068047205,21,22,0.7
6,15,350,Elitist,5.244851813022814,21,22,0.7
6,16,350,Elitist,5.521568047194022,21,22,0.7
6,17,350,Elitist,4.046682441174713,21,22,0.7
6,18,350,Elitist,4.312154530791932,21,22,0.7
6,19,350,Elitist,5.195056510259398,21,22,0.7
7,0,350,Elitist,2.7016184900792286,21,22,0.7
7,1,350,Elitist,0.16335683230114842,21,22,0.7
7,2,350,Elitist,0.2689130016077807,21,22,0.7
7,3,350,Elitist,1.6348110777710307,21,22,0.7
7,4,350,Elitist,0.22022375071734934,21,22,0.7
7,5,350,Elitist,0.22206292480048329,21,22,0.7
7,6,350,Elitist,2.603345288096108,21,22,0.7
7,7,350,Elitist,0.3841856540900719,21,22,0.7
7,8,350,Elitist,0.14098041592104504,21,22,0.7
7,9,350,Elitist,0.8141548575018361,21,22,0.7
7,10,350,Elitist,0.3463528095570283,21,22,0.7
7,11,350,Elitist,0.41477046008501034,21,22,0.7
7,12,350,Elitist,0.33420694255999855,21,22,0.7
7,13,350,Elitist,1.0648756647985615,21,22,0.7
7,14,350,Elitist,7.725429333966753,21,22,0.7
7,15,350,Elitist,0.36784910291852935,21,22,0.7
7,16,350,Elitist,0.23254486172213856,21,22,0.7
7,17,350,Elitist,0.15279541701442967,21,22,0.7
7,18,350,Elitist,2.439743204724492,21,22,0.7
7,19,350,Elitist,0.17247958758246243,21,22,0.7
6,0,350,Elitist,0.3117609901739541,21,22,0.5
6,1,350,Elitist,0.3384220362158398,21,22,0.5
6,2,350,Elitist,7.407243152839598,21,22,0.5
6,3,350,Elitist,0.3817664751834096,21,22,0.5
6,4,350,Elitist,0.1803609074132283,21,22,0.5
6,5,350,Elitist,0.38341222256436935,21,22,0.5
6,6,350,Elitist,0.7618367066156685,21,22,0.5
6,7,350,Elitist,7.085030009500546,21,22,0.5
6,8,350,Elitist,0.30124138963525793,21,22,0.5
6,9,350,Elitist,0.24392493737970353,21,22,0.5
6,10,350,Elitist,0.2918159893384053,21,22,0.5
6,11,350,Elitist,6.390535870706437,21,22,0.5
6,12,350,Elitist,0.4928732121428019,21,22,0.5
6,13,350,Elitist,0.3426569083034304,21,22,0.5
6,14,350,Elitist,7.538070104984989,21,22,0.5
6,15,350,Elitist,0.18967670849633225,21,22,0.5
6,16,350,Elitist,6.613804696777175,21,22,0.5
6,17,350,Elitist,1.0303199609159144,21,22,0.5
6,18,350,Elitist,1.4377623560882857,21,22,0.5
