fid,iid,rep,predicted_algo,precision,BFGS,DE,Elitist,MLSL,Non-elitist,PSO
4.0,7.0,13.0,Non-elitist,16.9142090127,939.7756948711,18.4485724189,34.8214638101,20.8940952785,16.9142090127,8.2082295796
4.0,7.0,14.0,PSO,10.1755834516,783.0538912291,41.2914049735,45.2887994056,16.9672961587,25.8688517941,10.1755834516
4.0,7.0,15.0,BFGS,48.7526291081,48.7526291081,28.0425423483,9.9495904217,20.8940952779,9.9496050204,7.5107859543
4.0,7.0,16.0,BFGS,167.1477787247,167.1477787247,22.7839663576,22.0473545844,20.8940952793,9.9496224101,3.312516307
4.0,7.0,17.0,BFGS,568.9983035571,568.9983035571,21.001626549,12.6458633574,18.3222582856,9.9495906554,6.1479334356
4.0,7.0,18.0,PSO,10.7514303356,288.5280022566,31.5473201747,8.9546215567,20.894095278,6.9648506634,10.7514303356
4.0,7.0,19.0,MLSL,20.8940952788,196.9973704089,26.3821830344,11.8073788819,20.8940952788,13.9296950148,6.5731159412
5.0,6.0,0.0,Elitist,0.0,40.669710122,3.0090030158,0.0,11.0939417445,0.0,0.0
5.0,6.0,1.0,Elitist,0.0,42.4838077597,6.6639562454,0.0,10.2396117275,0.0,0.0
5.0,6.0,2.0,Elitist,0.0,45.8859669714,7.5427843446,0.0,9.4047092209,0.0,0.0
5.0,6.0,3.0,Elitist,0.0,75.92737807,5.644873588,0.0,11.1107396634,0.0,0.0
5.0,6.0,4.0,Elitist,0.0,136.9152076041,5.5312641443,0.0,7.1829211601,0.0,0.0
5.0,6.0,5.0,Elitist,0.0,56.1398008174,5.2800672858,0.0,16.0115488728,0.0,0.0
5.0,6.0,6.0,Elitist,0.0,52.0306507039,6.3148693717,0.0,8.3943202578,0.0,0.0
5.0,6.0,7.0,Elitist,0.0,104.5222326447,5.9871579881,0.0,14.7798740261,0.0032458134,1.8473881207
5.0,6.0,8.0,Elitist,0.0,70.2416380736,6.3510836497,0.0,5.6488191294,0.0,0.0
5.0,6.0,9.0,Elitist,0.0,43.9740544431,6.5543887883,0.0,8.9005434258,0.0,0.0
5.0,6.0,10.0,Elitist,0.0,70.7228662607,8.5277930936,0.0,10.6890038152,0.0,0.0
5.0,6.0,11.0,Elitist,0.0,62.0939717507,4.8777200048,0.0,8.2171436533,0.0,0.8160180165
5.0,6.0,12.0,Elitist,0.0,52.8796342005,5.4376441315,0.0,11.8563164427,0.0,0.0
5.0,6.0,13.0,Elitist,0.0,132.4413307245,6.8692672029,0.0,15.7665348922,0.0,0.0
5.0,6.0,14.0,Elitist,0.0,67.8457716835,8.5364089,0.0,2.5706024434,0.0,0.0
5.0,6.0,15.0,Elitist,0.0,53.5084675716,8.5488734204,0.0,16.648175291,0.0,0.0
5.0,6.0,16.0,Elitist,0.0,72.2985560787,8.7063185264,0.0,8.0335503363,0.0,0.0
5.0,6.0,17.0,Elitist,0.0,91.7792221592,3.4715337413,0.0,7.5746386305,0.0,0.0
5.0,6.0,18.0,Elitist,0.0,123.3285409578,8.4725653195,0.0,7.5359957688,0.0,0.0
5.0,6.0,19.0,Elitist,0.0,49.7966577301,6.9530440214,0.0,13.8198713887,0.0,0.0
5.0,7.0,0.0,Elitist,0.0,37.7520562431,10.1101582937,0.0,16.6739893907,2.6044600693,0.0
5.0,7.0,1.0,Elitist,0.0,90.3121838532,5.0953837658,0.0,11.224380186,0.0,0.0
5.0,7.0,2.0,Elitist,0.0,80.6579585889,6.4825543599,0.0,3.8066966447,0.0,0.0
5.0,7.0,3.0,Elitist,0.0,96.3528192969,8.3608209689,0.0,11.231759241,0.0,0.0334564341
5.0,7.0,4.0,Elitist,0.0,93.8804811035,5.680444872,0.0,7.274231522,0.0,0.0
5.0,7.0,5.0,Elitist,0.0,84.0128020843,6.3338992675,0.0,5.7287397772,0.0,0.0
5.0,7.0,6.0,Elitist,0.0,72.9454987328,8.6910730192,0.0,12.195241391,0.0206360195,0.0
5.0,7.0,7.0,Elitist,0.0,84.766476252,8.5546342779,0.0,10.3232070516,0.0,0.0
5.0,7.0,8.0,Elitist,0.0,67.55395131,7.0543362433,0.0,10.9822939679,0.0,0.0
5.0,7.0,9.0,Elitist,0.0,75.698086436,4.6617974284,0.0,13.8772626723,0.0,0.0
5.0,7.0,10.0,Elitist,0.0,71.4489013426,4.7707607253,0.0,23.7393325646,0.0,1.0356102184
5.0,7.0,11.0,Elitist,0.0,64.4171143096,9.6027478824,0.0,21.1503029314,0.0,0.001304535
5.0,7.0,12.0,Elitist,0.0,65.6750614074,2.8136806636,0.0,8.5076830556,0.0,0.0
5.0,7.0,13.0,Elitist,0.0,116.7441468606,8.1434921615,0.0,18.1003506825,0.0,0.0
5.0,7.0,14.0,Elitist,0.0,97.546226867,3.8856286382,0.0,15.8505168478,0.0,0.0
5.0,7.0,15.0,Elitist,0.0,92.8216419378,10.5148150821,0.0,3.945640768,0.0,0.0
5.0,7.0,16.0,Elitist,0.0,103.2920244403,6.3722770516,0.0,1.6613300012,0.0,0.0
5.0,7.0,17.0,Elitist,0.0,108.0882349835,10.6341686521,0.0,12.0202979831,0.0,0.0
5.0,7.0,18.0,Elitist,0.0,138.3679965652,5.6487333214,0.0,17.9701290325,0.0008994542,0.0
5.0,7.0,19.0,Elitist,0.0,107.7425787122,9.4361919603,0.0,17.7336967574,0.0,0.0
6.0,6.0,0.0,Elitist,0.1467925252,5.7696103317,2.5400208777,0.1467925252,27.275451035,0.0005678372,0.0427334567
6.0,6.0,1.0,Elitist,0.0004682921,0.0026459958,5.1754579862,0.0004682921,82.6937531492,0.0059349077,0.3297022869
6.0,6.0,2.0,Elitist,0.0006940897,0.0010024781,5.9162100263,0.0006940897,47.7045843739,0.0048804879,0.2547445293
6.0,6.0,3.0,Elitist,7.359e-06,0.0087048714,8.8418877906,7.359e-06,24.3974641548,0.0046525731,0.140576799
6.0,6.0,4.0,Non-elitist,0.0051119013,42414.5080541129,5.0424635197,0.0001039356,17.5991641986,0.0051119013,0.0431406635
6.0,6.0,5.0,Elitist,0.0604054811,0.0013836744,11.9485813115,0.0604054811,12.6314247564,0.00060806,0.0971737138
6.0,6.0,6.0,Non-elitist,0.0047067824,1.8046e-06,3.1391414387,1.5158e-06,5.3053821683,0.0047067824,0.786767497
6.0,6.0,7.0,Non-elitist,0.0017162324,66727.8013053656,6.3537941589,0.0208984156,88.5455496201,0.0017162324,0.0952053049
6.0,6.0,8.0,Elitist,0.0042436899,0.2095106192,4.013267083,0.0042436899,13.8155835464,0.0015399351,0.0747315316
6.0,6.0,9.0,Elitist,0.0004097062,0.0443737684,3.6039639004,0.0004097062,0.6601888856,0.0002689701,0.1373781996
6.0,6.0,10.0,Elitist,0.0002645659,0.0055422645,3.4169237194,0.0002645659,14.6066170273,0.0002692921,0.1144247367
6.0,6.0,11.0,Non-elitist,0.0015596331,0.0013378504,11.3099187764,0.0014175479,39.7396663628,0.0015596331,0.2185059285
6.0,6.0,12.0,Elitist,6.702e-07,2.5056979498,8.8583752034,6.702e-07,40.4466965403,0.0002333477,0.0244025407
6.0,6.0,13.0,Non-elitist,0.001169717,0.3950251626,6.3030008757,0.0913946602,6.8068562632,0.001169717,0.3785258185
6.0,6.0,14.0,BFGS,0.042743683,0.042743683,0.8474803762,0.0011247539,33.0297113121,0.0030729507,0.4065738414
6.0,6.0,15.0,PSO,0.0682549174,3.3445732594,4.616162763,0.0008030864,70.4658133816,0.0109567064,0.0682549174
6.0,6.0,16.0,Elitist,0.0005974679,0.0002518431,5.8335474128,0.0005974679,46.8469473142,0.0172888232,0.0435015768
6.0,6.0,17.0,Elitist,8.7799e-06,0.0045467612,4.8031072304,8.7799e-06,11.1365333267,0.0009270408,0.0404847817
6.0,6.0,18.0,Elitist,0.000441536,0.7226729109,7.1773169449,0.000441536,62.2401773395,0.0005344417,0.064886142
6.0,6.0,19.0,Elitist,0.0002036701,3.5700869849,6.4371638446,0.0002036701,1.2230630033,0.0098162332,0.0800930707
6.0,7.0,0.0,BFGS,1.437330681,1.437330681,6.3436526891,0.0002655845,43.0012912407,0.0096128628,0.237694717
6.0,7.0,1.0,BFGS,1.96478e-05,1.96478e-05,4.1437572851,0.8886210577,7.2861270051,0.0005212382,0.0424195113
