fid,iid,rep,budget,algorithm,precision
1,1,2,950,Elitist,-12.0
1,1,2,1000,BFGS,-12.0
1,1,2,1000,DE,-12.0
1,1,2,1000,MLSL,-12.0
1,1,2,1000,Non-elitist,-12.0
1,1,2,1000,PSO,-12.0
1,1,2,1000,Elitist,-12.0
1,1,3,50,BFGS,-12.0
1,1,3,50,DE,-12.0
1,1,3,50,MLSL,-12.0
1,1,3,50,Non-elitist,-12.0
1,1,3,50,PSO,-1.0287743334044201
1,1,3,50,Elitist,-12.0
1,1,3,100,BFGS,-12.0
1,1,3,100,DE,-12.0
1,1,3,100,MLSL,-12.0
1,1,3,100,Non-elitist,-12.0
1,1,3,100,PSO,-1.8187119639164464
1,1,3,100,Elitist,-12.0
1,1,3,150,BFGS,-12.0
1,1,3,150,DE,-12.0
1,1,3,150,MLSL,-12.0
1,1,3,150,Non-elitist,-12.0
1,1,3,150,PSO,-1.72047331434947
1,1,3,150,Elitist,-12.0
1,1,3,200,BFGS,-12.0
1,1,3,200,DE,-12.0
1,1,3,200,MLSL,-12.0
1,1,3,200,Non-elitist,-12.0
1,1,3,200,PSO,-1.8990165999263526
1,1,3,200,Elitist,-12.0
1,1,3,250,BFGS,-12.0
1,1,3,250,DE,-12.0
1,1,3,250,MLSL,-12.0
1,1,3,250,Non-elitist,-12.0
1,1,3,250,PSO,-1.7604428822623401
1,1,3,250,Elitist,-12.0
1,1,3,300,BFGS,-12.0
1,1,3,300,DE,-12.0
1,1,3,300,MLSL,-12.0
1,1,3,300,Non-elitist,-12.0
1,1,3,300,PSO,-1.640754821726296
1,1,3,300,Elitist,-12.0
1,1,3,350,BFGS,-12.0
1,1,3,350,DE,-12.0
1,1,3,350,MLSL,-12.0
1,1,3,350,Non-elitist,-12.0
1,1,3,350,PSO,-0.7205149353851212
1,1,3,350,Elitist,-12.0
1,1,3,400,BFGS,-12.0
1,1,3,400,DE,-12.0
1,1,3,400,MLSL,-12.0
1,1,3,400,Non-elitist,-12.0
1,1,3,400,PSO,-0.7855987610421846
1,1,3,400,Elitist,-12.0
1,1,3,450,BFGS,-12.0
1,1,3,450,DE,-12.0
1,1,3,450,MLSL,-12.0
1,1,3,450,Non-elitist,-12.0
1,1,3,450,PSO,-1.7369617864141333
1,1,3,450,Elitist,-12.0
1,1,3,500,BFGS,-12.0
1,1,3,500,DE,-12.0
1,1,3,500,MLSL,-12.0
1,1,3,500,Non-elitist,-12.0
1,1,3,500,PSO,-2.731965208937348
1,1,3,500,Elitist,-12.0
1,1,3,550,BFGS,-12.0
1,1,3,550,DE,-12.0
1,1,3,550,MLSL,-12.0
1,1,3,550,Non-elitist,-12.0
1,1,3,550,PSO,-2.7538762606009883
1,1,3,550,Elitist,-12.0
1,1,3,600,BFGS,-12.0
1,1,3,600,DE,-12.0
1,1,3,600,MLSL,-12.0
1,1,3,600,Non-elitist,-12.0
1,1,3,600,PSO,-3.269143750988531
1,1,3,600,Elitist,-12.0
1,1,3,650,BFGS,-12.0
1,1,3,650,DE,-12.0
1,1,3,650,MLSL,-12.0
1,1,3,650,Non-elitist,-12.0
1,1,3,650,PSO,-4.0085872947564445
1,1,3,650,Elitist,-12.0
1,1,3,700,BFGS,-12.0
1,1,3,700,DE,-12.0
1,1,3,700,MLSL,-12.0
1,1,3,700,Non-elitist,-12.0
1,1,3,700,PSO,-5.341025663863775
1,1,3,700,Elitist,-12.0
1,1,3,750,BFGS,-12.0
1,1,3,750,DE,-12.0
1,1,3,750,MLSL,-5.341025663863775
1,1,3,750,Non-elitist,-12.0
1,1,3,750,PSO,-5.341025663863775
1,1,3,750,Elitist,-12.0
1,1,3,800,BFGS,-12.0
1,1,3,800,DE,-12.0
1,1,3,800,MLSL,-12.0
1,1,3,800,Non-elitist,-12.0
1,1,3,800,PSO,-12.0
